Breed,Weight,LitterSize,BirthWeight,Lifespan,T50
Doberman Pinscher,36.85438006,7,0.312,10.5,#N/A
Dogo Argentino,42.07069232,#N/A,#N/A,#N/A,#N/A
Dogue de Bordeaux,,8.1,#N/A,3.83,#N/A
Drentsche Patrijshond,27.44233839,#N/A,#N/A,#N/A,#N/A
Drever,17.00971388,6.1,#N/A,#N/A,#N/A
Dutch Shepherd,26.53515365,#N/A,#N/A,#N/A,#N/A
English Cocker Spaniel,13.6077711,5.7,0.313,11.17,#N/A
English Foxhound,30.61748498,#N/A,#N/A,#N/A,#N/A
English Setter,27.78253266,6.4,0.482,11.58,#N/A
English Springer Spaniel,20.41165665,7.3,0.3,12,14.3
English Toy Spaniel,4.98951607,#N/A,0.184,#N/A,#N/A
Entlebucher Mountain Dog,23.81359943,#N/A,#N/A,#N/A,#N/A
Estrela Mountain Dog,47.40040267,4.5,#N/A,9.75,#N/A
Eurasier,24.94758035,6.7,#N/A,#N/A,#N/A
Field Spaniel,19.27767573,#N/A,0.283,11.63,#N/A
Finnish Lapphund,19.50447191,5.2,0.363,7.33,#N/A
Finnish Spitz,12.02019781,3.7,#N/A,11.13,#N/A
Flat-Coated Retriever,29.48350405,8.3,0.284,9.83,#N/A
French Bulldog,,4.7,0.255,9,#N/A
French Spaniel,24.94758035,#N/A,#N/A,#N/A,#N/A
German Longhaired Pointer,30.61748498,7.8,#N/A,10.5,#N/A
German Pinscher,15.87573295,5,0.265,11.38,#N/A
German Shepherd Dog,31.18447544,6.1,0.567,#N/A,20.23
German Shorthaired Pointer,26.08156128,8.3,0.5,12,#N/A
German Spitz,11.33980925,#N/A,#N/A,11.33,#N/A
German Wirehaired Pointer,27.2155422,7.3,#N/A,10,#N/A
Giant Schnauzer,31.18447544,7,#N/A,10,#N/A
Glen of Imaal Terrier,16.32932532,5.3,#N/A,10.42,#N/A
Golden Retriever,29.48350405,7.5,0.411,12.25,28.17
Gordon Setter,28.34952313,7.6,0.315,11.08,#N/A
Grand Basset Griffon Vendéen,19.27767573,#N/A,#N/A,#N/A,#N/A
Great Dane,64.06992226,7.1,0.625,6.5,18.1
Great Pyrenees,,7.3,0.624,9.58,#N/A
Greater Swiss Mountain Dog,51.02914163,9,0.51,#N/A,#N/A
Greyhound,29.48350405,8.9,0.55,9.08,#N/A
Hamiltonstovare,26.08156128,6.5,#N/A,10.13,#N/A
Hanoverian Scenthound,40.36972093,#N/A,#N/A,#N/A,#N/A
Harrier,23.81359943,#N/A,#N/A,#N/A,#N/A
Havanese,4.5359237,4.3,0.156,10.25,#N/A
Hokkaido,24.94758035,#N/A,#N/A,#N/A,#N/A
Hovawart,35.15340868,7.8,#N/A,12.92,#N/A
Ibizan Hound,21.54563758,#N/A,#N/A,#N/A,#N/A
Icelandic Sheepdog,12.47379018,4.5,0.293,#N/A,#N/A
Irish Red and White Setter,21.2054433,8,0.41,11.42,#N/A
Irish Setter,29.48350405,7.1,#N/A,12,#N/A
Irish Terrier,11.79340162,6.3,0.28,14.83,#N/A
Irish Water Spaniel,25.62796891,#N/A,#N/A,9.33,#N/A
Irish Wolfhound,51.02914163,6.8,0.568,7.04,19.1
Italian Greyhound,4.762719885,3.3,0.146,13.5,#N/A
Jagdterrier,8.845051215,6.4,#N/A,#N/A,#N/A
Japanese Chin,4.08233133,1.9,#N/A,9.25,#N/A
Japanese Spitz,7.937866475,3.9,#N/A,12.29,#N/A
Jindo,18.1436948,#N/A,#N/A,#N/A,#N/A
Kai Ken,13.6077711,#N/A,#N/A,#N/A,#N/A
Karelian Bear Dog,21.09204521,6.5,#N/A,#N/A,#N/A
Keeshond,18.1436948,5.5,0.255,12.21,#N/A
Kerry Blue Terrier,,4,#N/A,11.5,#N/A
Kishu Ken,20.41165665,#N/A,#N/A,#N/A,#N/A
Komondor,,#N/A,#N/A,#N/A,#N/A
Kromfohrlander,12.47379018,#N/A,#N/A,#N/A,#N/A
Kuvasz,42.52428469,#N/A,0.547,#N/A,#N/A
Labrador Retriever,30.61748498,6.9,0.45,12.25,19.43
Lagotto Romagnolo,13.43767396,6.7,#N/A,#N/A,#N/A
Lakeland Terrier,,2,#N/A,15.46,#N/A
Lancashire Heeler,5.89670081,5.5,#N/A,11.75,#N/A
Lapponian Herder,31.7514659,5,#N/A,#N/A,#N/A
Leonberger,57.83302718,8.4,0.51,7.08,#N/A
Lhasa Apso,6.123496995,4.9,#N/A,14.33,#N/A
Lowchen,5.669904625,3.3,#N/A,10,#N/A
Maltese,3.17514659,2.1,0.142,12.25,#N/A
Manchester Terrier (Standard),7.71107029,4.7,#N/A,12.83,#N/A
Manchester Terrier (Toy),5.44310844,#N/A,#N/A,#N/A,#N/A
Mastiff,77.1107029,6,0.567,6.83,22.9
Miniature American Shepherd,13.6077711,#N/A,#N/A,#N/A,#N/A
Miniature Bull Terrier,10.43262451,#N/A,#N/A,6.08,#N/A
Miniature Pinscher,4.08233133,4.3,0.184,13,#N/A
Miniature Schnauzer,7.030681735,4.7,#N/A,12.08,14.1
Mountain Cur,20.41165665,#N/A,#N/A,#N/A,#N/A
Mudi,10.6594207,5,#N/A,#N/A,#N/A
Neapolitan Mastiff,58.9670081,7.5,0.9,2.33,#N/A
Nederlandse Kooikerhondje,11.33980925,5.6,#N/A,3.92,#N/A
Newfoundland,56.69904625,6.5,#N/A,9.67,18.5
Norfolk Terrier,5.216312255,2.5,#N/A,11,#N/A
Norrbottenspets,11.33980925,3,#N/A,#N/A,#N/A
Norwegian Buhund,14.96854821,4.9,0.345,12.67,#N/A
Norwegian Elkhound,23.36000706,5.5,#N/A,13.17,#N/A
Norwegian Lundehund,11.33980925,3.2,#N/A,#N/A,#N/A
Norwich Terrier,5.44310844,2.6,#N/A,13.38,#N/A
Nova Scotia Duck Tolling Retriever,19.27767573,6.6,0.47,8,#N/A
Old English Sheepdog,36.2873896,4.3,0.33,10.75,#N/A
Otterhound,44.22525608,#N/A,0.631,10.21,#N/A
Papillon,3.401942775,3.3,0.15,13.08,11.1
