Duckling ID,Pair ID,Nest ID,Incubation Temperature (°C),Sex,Lay Day of Year,Age (hours),Tarsus length (mm),Hatch Mass (g),First in Pair to Exit?,Latency to Move (s),Latency to Jump (s),Latency to Climb (s),Latency to Call (s),Latency to Exit (s),Exited? ,Number of jumps per minute Before first duck exited,Number of climbs per minute Before first duck exited,Number of jumps per minute After first duck exited,Number of climbs per minute After first duck exited,Total number of jumps per minute,Total number of climbs per minute
W2-3,45,W2,36.0,F,72,13.58,18.65,25.21,Y,1385,1605,1731,1462,1799,Y,0.2668,0.0667,NA,NA,0.2668,0.0667
W2-4,65,W2,36.0,F,74,18.97,17.56,25.27,N,86,1800,1800,1800,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
W2-5,57,W2,35.0,F,75,11.88,19.70,23.50,Y,3,10,1800,7,1800,N,1.5667,0.0000,NA,NA,1.5667,0.0000
W5-1,38,W5,35.0,F,72,17.98,18.37,24.75,N,28,769,882,51,948,Y,0.0000,0.0000,6.0914,0.6091,1.2658,0.1266
W5-2,53,W5,35.0,M,73,15.08,18.64,23.04,Y,1,71,472,27,571,Y,0.9457,0.4203,NA,NA,0.9457,0.4203
W5-3,65,W5,35.0,F,74,25.25,18.81,25.36,Y,22,45,1800,20,1800,N,0.1000,0.0000,NA,NA,0.1000,0.0000
W5-4,56,W5,36.0,M,75,13.32,18.62,22.99,N,103,133,924,106,929,Y,3.4361,0.0000,23.4188,0.0855,18.5361,0.0646
W5-5,60,W5,35.0,M,76,18.93,18.78,25.72,N,279,1800,1800,1210,1800,N,0.0000,0.0000,NA,NA,0.0000,0.0000
X4-11,3,X4,36.0,F,60,10.50,19.27,26.68,N,10,25,171,4,318,Y,0.5128,0.0000,4.1791,0.8955,2.8302,0.5660
X4-12,5,X4,36.0,F,60,9.97,20.60,26.45,N,37,430,430,24,759,Y,0.3614,0.1205,4.3678,1.1494,1.7391,0.4743
X4-13,2,X4,35.0,F,61,25.52,18.36,27.16,N,25,60,1800,6,1800,N,18.7555,0.0000,0.4355,0.0000,20.5333,0.0000
