SD temperatures,SD fertilization,SD speeds,SD motility,SU temperatures,SU fertilization,SU speeds,SU motility,multiple stressors temperatures,multiple stressors pH,multiple stressors fertilization,multiple stressors speeds,multiple stressors motility,Argyle_datetime_2020,Argyle_temps_2020,Argyle_datetime_2021,Argyle_temps_2021,Deadman_datetime_2020,Deadman_temps_2020,Deadman_datetime_2021,Deadman_temps_2021
8,92,178,66,8,28,71,66,8,7.1,47,224,68,15/6/2020 0:00,12.001,17/6/2021 17:00,29.57,2020-06-15 0:08:23,11.50,2021-06-15 00:08:59,9.68
8,56,232,60,8,20,65,94,8,7.1,67,251,57,15/6/2020 0:30,11.856,17/6/2021 17:15,29.39,2020-06-15 0:23:23,11.34,2021-06-15 00:23:59,9.73
8,70,201,57,8,44,95,88,8,7.1,55,241,62,15/6/2020 1:00,12.098,17/6/2021 17:30,29.26,2020-06-15 0:38:23,11.32,2021-06-15 00:38:59,9.76
10,88,228,93,10,57,111,79,8,7.5,51,199,74,15/6/2020 1:30,13.305,17/6/2021 17:45,28.97,2020-06-15 0:53:23,11.17,2021-06-15 00:53:59,9.84
10,64,299,77,10,55,76,89,8,7.5,59,250,58,15/6/2020 2:00,14.242,17/6/2021 18:00,28.52,2020-06-15 1:08:23,11.09,2021-06-15 01:08:59,9.95
10,70,182,63,10,70,96,63,8,7.5,83,234,55,15/6/2020 2:30,14.697,17/6/2021 18:15,28.02,2020-06-15 1:23:23,11.00,2021-06-15 01:23:59,9.88
12,74,253,63,12,86,130,71,8,7.9,77,215,55,15/6/2020 3:00,15.294,17/6/2021 18:30,27.45,2020-06-15 1:38:23,10.86,2021-06-15 01:38:59,9.93
12,98,258,68,12,90,143,68,8,7.9,75,247,41,15/6/2020 3:30,15.103,17/6/2021 18:45,26.95,2020-06-15 1:53:23,10.81,2021-06-15 01:53:59,9.99
12,92,251,75,12,88,128,87,8,7.9,80,225,62,15/6/2020 4:00,15.175,17/6/2021 19:00,25.88,2020-06-15 2:08:23,10.68,2021-06-15 02:08:59,9.84
14,80,243,50,14,84,129,49,16,7.1,63,259,58,15/6/2020 4:30,15.39,17/6/2021 19:15,24.99,2020-06-15 2:23:23,10.56,2021-06-15 02:23:59,9.90
14,98,291,65,14,78,144,77,16,7.1,71,227,56,15/6/2020 5:00,15.39,17/6/2021 19:30,24.94,2020-06-15 2:38:23,10.56,2021-06-15 02:38:59,9.93
14,92,277,84,14,74,161,96,16,7.1,63,216,45,15/6/2020 5:30,15.294,17/6/2021 19:45,24.49,2020-06-15 2:53:23,10.51,2021-06-15 02:53:59,10.06
16,100,283,75,16,82,141,87,16,7.5,69,281,64,15/6/2020 6:00,15.223,17/6/2021 20:00,23.1,2020-06-15 3:08:23,10.55,2021-06-15 03:08:59,10.18
16,88,284,68,16,82,159,80,16,7.5,73,217,58,15/6/2020 6:30,15.175,17/6/2021 20:15,22.18,2020-06-15 3:23:23,10.59,2021-06-15 03:23:59,10.26
16,80,290,100,16,88,184,92,16,7.5,73,159,55,15/6/2020 7:00,15.199,17/6/2021 20:30,21.88,2020-06-15 3:38:23,10.59,2021-06-15 03:38:59,10.34
18,82,212,76,22,84,137,67,16,7.9,90,177,55,15/6/2020 7:30,15.103,17/6/2021 20:45,21.08,2020-06-15 3:53:23,10.60,2021-06-15 03:53:59,10.45
18,92,206,66,22,56,153,28,16,7.9,90,233,41,15/6/2020 8:00,15.247,17/6/2021 21:00,20.39,2020-06-15 4:08:23,10.62,2021-06-15 04:08:59,10.54
18,94,222,56,22,54,137,61,16,7.9,91,253,62,15/6/2020 8:30,15.509,17/6/2021 21:15,18.09,2020-06-15 4:23:23,10.63,2021-06-15 04:23:59,10.59
20,88,184,68,28,2,93,29,24,7.1,13,282,28,15/6/2020 9:00,15.414,17/6/2021 21:30,15.91,2020-06-15 4:38:23,10.59,2021-06-15 04:38:59,10.64
20,91,177,45,28,3,140,23,24,7.1,20,282,38,15/6/2020 9:30,15.366,17/6/2021 21:45,14.63,2020-06-15 4:53:23,10.59,2021-06-15 04:53:59,10.67
20,91,169,58,28,11,122,17,24,7.1,55,289,32,15/6/2020 10:00,15.557,17/6/2021 22:00,13.58,2020-06-15 5:08:23,10.60,2021-06-15 05:08:59,10.72
22,84,155,47,n/a,n/a,n/a,n/a,24,7.5,54,370,64,15/6/2020 10:30,15.772,17/6/2021 22:15,13.01,2020-06-15 5:23:23,10.62,2021-06-15 05:23:59,10.74
22,88,165,17,n/a,n/a,n/a,n/a,24,7.5,61,250,58,15/6/2020 11:00,15.676,17/6/2021 22:30,12.8,2020-06-15 5:38:23,10.65,2021-06-15 05:38:59,10.82
22,90,168,58,n/a,n/a,n/a,n/a,24,7.5,55,264,26,15/6/2020 11:30,15.843,17/6/2021 22:45,13.55,2020-06-15 5:53:23,10.63,2021-06-15 05:53:59,10.79
24,91,168,79,n/a,n/a,n/a,n/a,24,7.9,86,221,33,15/6/2020 12:00,16.106,17/6/2021 23:00,12.65,2020-06-15 6:08:23,10.67,2021-06-15 06:08:59,10.84
24,94,150,30,n/a,n/a,n/a,n/a,24,7.9,55,242,55,15/6/2020 12:30,16.272,17/6/2021 23:15,12.97,2020-06-15 6:23:23,10.74,2021-06-15 06:23:59,10.93
24,93,104,30,n/a,n/a,n/a,n/a,24,7.9,89,229,3,15/6/2020 13:00,16.249,17/6/2021 23:30,13.94,2020-06-15 6:38:23,10.83,2021-06-15 06:38:59,11.03
26,64,138,44,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 13:30,17.011,17/6/2021 23:45,13.67,2020-06-15 6:53:23,10.95,2021-06-15 06:53:59,11.16
26,70,119,33,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 14:00,17.082,18/6/2021 0:00,13.94,2020-06-15 7:08:23,11.03,2021-06-15 07:08:59,11.28
26,65,174,59,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 14:30,17.249,18/6/2021 0:15,14.42,2020-06-15 7:23:23,11.11,2021-06-15 07:23:59,11.54
34,29,22,16,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 15:00,17.629,18/6/2021 0:30,14.79,2020-06-15 7:38:23,11.17,2021-06-15 07:38:59,11.96
34,36,8,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 15:30,17.962,18/6/2021 0:45,14.89,2020-06-15 23:08:23,10.64,2021-06-15 07:53:59,12.54
34,31,46,17,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 16:00,18.39,18/6/2021 1:00,15.13,2020-06-15 23:23:23,10.56,2021-06-15 08:08:59,13.14
38,2,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 16:30,18.438,18/6/2021 1:15,15.25,2020-06-15 23:38:23,10.49,2021-06-15 08:23:59,13.81
38,1,25,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 17:00,17.677,18/6/2021 1:30,15.49,2020-06-15 23:53:23,10.45,2021-06-15 08:38:59,13.94
38,1,0,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 17:30,17.701,18/6/2021 1:45,15.9,2020-06-16 0:08:23,10.42,2021-06-15 08:53:59,14.06
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 18:00,17.558,18/6/2021 2:00,16.11,2020-06-16 0:23:23,10.40,2021-06-15 09:08:59,14.08
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 18:30,17.201,18/6/2021 2:15,16.31,2020-06-16 0:38:23,10.35,2021-06-15 09:23:59,14.12
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 19:00,16.963,18/6/2021 2:30,16.58,2020-06-16 0:53:23,10.36,2021-06-15 09:38:59,14.16
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 19:30,16.892,18/6/2021 2:45,16.7,2020-06-16 1:08:23,10.33,2021-06-15 09:53:59,14.20
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 20:00,16.915,18/6/2021 3:00,16.63,2020-06-16 1:23:23,10.39,2021-06-15 10:08:59,14.23
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 20:30,16.63,18/6/2021 3:15,16.62,2020-06-16 1:38:23,10.36,2021-06-15 10:23:59,14.27
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 21:00,16.511,18/6/2021 3:30,16.63,2020-06-16 1:53:23,10.34,2021-06-15 10:38:59,14.30
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 21:30,16.32,18/6/2021 3:45,16.6,2020-06-16 2:08:23,10.33,2021-06-15 10:53:59,14.31
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 22:00,14.505,18/6/2021 4:00,16.58,2020-06-16 2:23:23,10.35,2021-06-15 11:08:59,14.32
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 22:30,12.871,18/6/2021 4:15,16.57,2020-06-16 2:38:23,10.35,2021-06-15 11:23:59,14.35
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 23:00,12.34,18/6/2021 4:30,16.52,2020-06-16 2:53:23,10.30,2021-06-15 11:38:59,14.35
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15/6/2020 23:30,11.953,18/6/2021 4:45,16.49,2020-06-16 3:08:23,10.29,2021-06-15 11:53:59,14.38
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 0:00,11.394,18/6/2021 5:00,16.46,2020-06-16 3:23:23,10.27,2021-06-15 12:08:59,14.43
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 0:30,11.419,18/6/2021 5:15,16.42,2020-06-16 3:38:23,10.24,2021-06-15 12:23:59,14.47
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 1:00,11.686,18/6/2021 5:30,16.37,2020-06-16 3:53:23,10.28,2021-06-15 12:38:59,14.50
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 1:30,11.807,18/6/2021 5:45,16.36,2020-06-16 4:08:23,10.26,2021-06-15 12:53:59,14.52
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 2:00,12.63,18/6/2021 6:00,16.34,2020-06-16 4:23:23,10.27,2021-06-15 13:08:59,14.54
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 2:30,12.871,18/6/2021 6:15,16.33,2020-06-16 4:38:23,10.28,2021-06-15 13:23:59,14.56
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 3:00,14.122,18/6/2021 6:30,16.35,2020-06-16 4:53:23,10.23,2021-06-15 13:38:59,14.59
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 3:30,14.242,18/6/2021 6:45,16.41,2020-06-16 5:08:23,10.15,2021-06-15 13:53:59,14.62
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 4:00,14.337,18/6/2021 7:00,16.51,2020-06-16 5:23:23,10.13,2021-06-15 14:08:59,14.65
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 4:30,14.266,18/6/2021 7:15,16.63,2020-06-16 5:38:23,10.18,2021-06-15 14:23:59,14.68
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 5:00,14.218,18/6/2021 7:30,16.6,2020-06-16 5:53:23,10.15,2021-06-15 14:38:59,14.69
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 5:30,14.17,18/6/2021 7:45,16.55,2020-06-16 6:08:23,10.19,2021-06-15 14:53:59,14.68
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 6:00,14.098,18/6/2021 8:00,16.81,2020-06-16 6:23:23,10.25,2021-06-15 15:08:59,14.69
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 6:30,14.074,18/6/2021 8:15,17.14,2020-06-16 6:38:23,10.28,2021-06-17 03:19:46,11.28
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 7:00,14.361,18/6/2021 8:30,17.33,2020-06-16 6:53:23,10.37,2021-06-17 03:34:46,11.38
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 7:30,14.649,18/6/2021 8:45,17.88,2020-06-16 7:08:23,10.34,2021-06-17 03:49:46,11.41
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 8:00,15.175,18/6/2021 9:00,18.27,2020-06-16 7:23:23,10.35,2021-06-17 04:04:46,11.46
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 8:30,15.796,18/6/2021 9:15,18.81,2020-06-16 7:38:23,10.37,2021-06-17 04:19:46,11.47
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 9:00,16.987,18/6/2021 9:30,19.25,2020-06-16 7:53:23,10.41,2021-06-17 04:34:46,11.44
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 9:30,17.605,18/6/2021 9:45,20.12,2020-06-16 8:08:23,10.47,2021-06-17 04:49:46,11.42
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 10:00,18.723,18/6/2021 10:00,20.5,2020-06-16 8:23:23,10.62,2021-06-17 05:04:46,11.38
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 10:30,19.77,18/6/2021 10:15,20.78,2020-06-16 8:38:23,10.62,2021-06-17 05:19:46,11.36
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 11:00,20.793,18/6/2021 10:30,21.33,2020-06-16 8:53:23,10.65,2021-06-17 05:34:46,11.33
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 11:30,20.507,18/6/2021 10:45,22.07,2020-06-16 9:08:23,10.62,2021-06-17 05:49:46,11.33
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 12:00,22.776,18/6/2021 11:00,22.07,2020-06-16 9:23:23,10.69,2021-06-17 06:04:46,11.31
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 12:30,22.011,18/6/2021 11:15,22.78,2020-06-16 9:38:23,10.79,2021-06-17 06:19:46,11.34
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 13:00,23.689,18/6/2021 11:30,23.39,2020-06-16 9:53:23,10.80,2021-06-17 06:34:46,11.33
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 13:30,23.472,18/6/2021 11:45,23.96,2020-06-16 23:38:23,10.73,2021-06-17 06:49:46,11.34
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 14:00,24.702,18/6/2021 12:00,24.35,2020-06-16 23:53:23,10.65,2021-06-17 07:04:46,11.39
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 14:30,24.484,18/6/2021 12:15,24.69,2020-06-17 0:08:23,10.56,2021-06-17 07:19:46,11.50
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 15:00,24.46,18/6/2021 12:30,24.95,2020-06-17 0:23:23,10.52,2021-06-17 07:34:46,11.97
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 15:30,24.412,18/6/2021 12:45,25.51,2020-06-17 0:38:23,10.48,2021-06-17 07:49:46,12.51
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 16:00,23.665,18/6/2021 13:00,25.97,2020-06-17 0:53:23,10.44,2021-06-17 08:04:46,13.16
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 16:30,24.581,18/6/2021 13:15,26.32,2020-06-17 1:08:23,10.42,2021-06-17 08:19:46,13.90
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 17:00,24.363,18/6/2021 13:30,26.81,2020-06-17 1:23:23,10.37,2021-06-17 08:34:46,14.05
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 17:30,23.232,18/6/2021 13:45,27.29,2020-06-17 1:38:23,10.32,2021-06-17 08:49:46,14.07
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 18:00,24.122,18/6/2021 14:00,27.47,2020-06-17 1:53:23,10.24,2021-06-17 09:04:46,14.11
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 18:30,23.809,18/6/2021 14:15,28.09,2020-06-17 2:08:23,10.21,2021-06-17 09:19:46,14.16
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 19:00,22.609,18/6/2021 14:30,28.64,2020-06-17 2:23:23,10.22,2021-06-17 09:34:46,14.20
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 19:30,22.154,18/6/2021 14:45,28.98,2020-06-17 2:38:23,10.21,2021-06-17 09:49:46,14.24
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 20:00,21.223,18/6/2021 15:00,29.32,2020-06-17 2:53:23,10.25,2021-06-17 10:04:46,14.27
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 20:30,20.365,18/6/2021 15:15,29.66,2020-06-17 3:08:23,10.25,2021-06-17 10:19:46,14.30
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 21:00,19.532,18/6/2021 15:30,29.94,2020-06-17 3:23:23,10.23,2021-06-17 10:34:46,14.33
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 21:30,18.652,18/6/2021 15:45,30.12,2020-06-17 3:38:23,10.22,2021-06-17 10:49:46,14.38
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 22:00,18.39,18/6/2021 16:00,30.12,2020-06-17 3:53:23,10.17,2021-06-17 11:04:46,14.43
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 22:30,15.151,18/6/2021 16:15,29.67,2020-06-17 4:08:23,10.15,2021-06-17 11:19:46,14.48
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 23:00,13.858,18/6/2021 16:30,29.79,2020-06-17 4:23:23,10.18,2021-06-17 11:34:46,14.53
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16/6/2020 23:30,13.305,18/6/2021 16:45,29.77,2020-06-17 4:38:23,10.22,2021-06-17 11:49:46,14.57
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 0:00,12.461,18/6/2021 17:00,29.26,2020-06-17 4:53:23,10.25,2021-06-17 12:04:46,14.61
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 0:30,11.613,18/6/2021 17:15,28.91,2020-06-17 5:08:23,10.22,2021-06-17 12:19:46,14.65
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 1:00,11.273,18/6/2021 17:30,28.61,2020-06-17 5:23:23,10.23,2021-06-17 12:34:46,14.69
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 1:30,11.856,18/6/2021 17:45,28.26,2020-06-17 5:38:23,10.23,2021-06-17 12:49:46,14.72
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 2:00,12.534,18/6/2021 18:00,27.88,2020-06-17 5:53:23,10.22,2021-06-17 13:04:46,14.73
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 2:30,13.233,18/6/2021 18:15,27.58,2020-06-17 6:08:23,10.24,2021-06-17 13:19:46,14.74
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 3:00,14.385,18/6/2021 18:30,27.12,2020-06-17 6:23:23,10.25,2021-06-17 13:34:46,14.77
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 3:30,14.912,18/6/2021 18:45,26.47,2020-06-17 6:38:23,10.22,2021-06-17 13:49:46,14.79
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 4:00,15.103,18/6/2021 19:00,25.45,2020-06-17 6:53:23,10.24,2021-06-17 14:04:46,14.79
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 4:30,15.127,18/6/2021 19:15,24.83,2020-06-17 7:08:23,10.26,2021-06-17 14:19:46,14.80
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 5:00,15.079,18/6/2021 19:30,24.45,2020-06-17 7:23:23,10.29,2021-06-17 14:34:46,14.80
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 5:30,15.055,18/6/2021 19:45,24.05,2020-06-17 7:38:23,10.40,2021-06-17 14:49:46,14.82
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 6:00,15.031,18/6/2021 20:00,23.57,2020-06-17 7:53:23,10.51,2021-06-17 15:04:46,14.82
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 6:30,15.127,18/6/2021 20:15,22.99,2020-06-17 8:08:23,10.64,2021-06-17 15:19:46,14.81
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 7:00,15.151,18/6/2021 20:30,22.48,2020-06-17 8:23:23,10.79,2021-06-17 15:34:46,14.83
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 7:30,15.509,18/6/2021 20:45,21.89,2020-06-17 8:38:23,10.91,2021-06-17 15:49:46,14.84
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 8:00,16.082,18/6/2021 21:00,21.37,2020-06-17 8:53:23,10.96,2021-06-17 16:04:46,14.87
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 8:30,16.463,18/6/2021 21:15,20.9,2020-06-17 9:08:23,10.99,2021-06-17 16:19:46,14.84
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 9:00,17.629,18/6/2021 21:30,20.05,2020-06-17 9:23:23,11.03,2021-06-17 16:34:46,14.82
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 9:30,18.557,18/6/2021 21:45,17.34,2020-06-17 19:53:23,11.33,2021-06-17 16:49:46,14.81
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 10:00,19.841,18/6/2021 22:00,16.5,2020-06-17 20:08:23,11.33,2021-06-17 17:04:46,14.81
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 10:30,20.913,18/6/2021 22:15,15.74,2020-06-17 20:23:23,11.22,2021-06-17 17:19:46,14.78
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 11:00,21.604,18/6/2021 22:30,15.15,2020-06-17 20:38:23,11.09,2021-06-17 17:34:46,14.76
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 11:30,21.485,18/6/2021 22:45,14.44,2020-06-17 20:53:23,11.26,2021-06-17 17:49:46,14.72
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 12:00,22.417,18/6/2021 23:00,14.49,2020-06-17 21:08:23,11.32,2021-06-17 18:04:46,14.69
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 12:30,23.4,18/6/2021 23:15,14.11,2020-06-17 21:23:23,11.19,2021-06-17 18:19:46,14.66
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 13:00,24.46,18/6/2021 23:30,12.96,2020-06-17 21:38:23,11.02,2021-06-17 18:34:46,14.63
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17/6/2020 13:30,25.793,18/6/2021 23:45,12.87,2020-06-17 21:53:23,10.84,2021-06-17 18:49:46,14.59
