,Vmax WR,Ftotmax WR,Mz WR,Pmax WR,PT WR,CT WR,Ror WR,,,,Vmax WOR,Ftotmax WOR,Mz WOR,Pmax WOR,PT WOR,CT WOR,Ror WOR
P05,2.729523409,216.8416329,37.66838638,364.9632074,0.1875,0.408333333,1300.330473,,,P05,2.999870105,191.5636035,39.18561389,407.5422952,0.170833333,0.404166667,2639.627465
P05,2.866958704,258.3467946,38.33196626,336.9130926,0.179166667,0.4,3086.199148,,,P05,3.114333421,179.6229512,33.67397231,376.4673414,0.145833333,0.3875,2997.908667
P05,2.777450241,198.7226362,33.22416093,339.0019458,0.175,0.391666667,2042.77853,,,P05,3.103009,214.5601862,28.84767778,317.6424681,0.145833333,0.383333333,4001.337703
P05,2.922009199,242.656794,36.56420882,371.7625939,0.170833333,0.391666667,2896.510655,,,P05,3.042494581,201.4659914,31.46720654,322.5203537,0.158333333,0.408333333,3234.015664
P05,2.998283805,215.1629513,33.90606999,315.8428931,0.1625,0.391666667,2598.87178,,,P06,3.428509007,278.5843469,68.03331055,705.7856467,0.175,0.420833333,4212.459592
P05,2.978616619,190.0696291,27.29840484,282.9486585,0.145833333,0.391666667,2469.181123,,,P06,3.518854683,278.9230139,64.96916742,736.1216498,0.1875,0.4375,4656.770689
P05,2.97904257,155.6111481,26.11300486,265.7227256,0.141666667,0.391666667,2687.000852,,,P06,3.739247608,215.2321326,53.18731935,554.719093,0.170833333,0.425,2911.794289
P05,2.986606872,165.5687617,29.97282275,297.0542448,0.1625,0.404166667,2472.637631,,,P06,3.527241512,205.2863418,49.83960018,608.2703298,0.1625,0.420833333,3852.713556
P05,3.076776293,132.379047,25.06012747,265.356794,0.141666667,0.383333333,3219.920534,,,P06,3.891091797,197.0216884,44.56092084,550.8084716,0.1375,0.408333333,3104.363903
P06,2.359944817,291.292021,62.84203518,461.9719553,0.254166667,0.529166667,1797.236564,,,P06,3.968717695,185.3693291,38.45569674,489.2546264,0.133333333,0.420833333,2526.468368
P06,3.207440436,309.4097983,60.12560673,497.907408,0.204166667,0.466666667,3696.732087,,,P06,3.853534669,232.2929993,39.65842863,518.6085313,0.141666667,0.433333333,3735.476283
